(15000)
1 (6717)
3 (2723)
7 (2993)
8 (2819)
9 (10236)
10 (2730)
14 (9624)
15 (2574)
16 (6875)
17 (7223)
50 (2833)
62 (13339)
74 (1443)
75 (1447)
76 (1453)
77 (1489)
78 (1442)
79 (2981)
80 (1774)
81 (1442)
82 (3025)
83 (1694)
84 (1721)
85 (2401)
86 (1694)
87 (1445)
92 (3475)
97 (1895)
120 (2791)
131 (3418)
151 (1818)
153 (1640)
650 (1470)
683 (1501)
776 (1452)
1091 (1469)
78 85 (1442)
50 78 (1441)
78 79 (1442)
9 78 (4321)
62 78 (4324)
3 78 (2881)
80 81 (1442)
10 81 (1441)
8 81 (1441)
50 81 (1441)
79 81 (1442)
81 82 (1441)
9 81 (4323)
62 81 (4325)
3 81 (2883)
1 74 (1443)
9 74 (4322)
62 74 (4321)
3 74 (2885)
8 87 (1441)
79 87 (1441)
1 87 (1445)
9 87 (4322)
62 87 (4321)
3 87 (2889)
10 75 (1441)
8 75 (1441)
50 75 (1441)
75 79 (1442)
1 75 (1441)
9 75 (4321)
62 75 (4325)
3 75 (2885)
9 776 (2709)
62 776 (4056)
3 776 (3017)
76 85 (1445)
10 76 (1441)
8 76 (1441)
50 76 (1442)
76 79 (1443)
9 76 (4328)
62 76 (4333)
3 76 (2903)
9 1091 (2768)
62 1091 (4232)
3 1091 (2972)
9 650 (2695)
62 650 (4119)
3 650 (3127)
77 83 (1441)
77 84 (1441)
77 80 (1441)
77 85 (1443)
10 77 (1444)
8 77 (1445)
50 77 (1451)
77 79 (1446)
77 82 (1441)
1 77 (1452)
9 77 (4325)
62 77 (4328)
3 77 (2984)
9 683 (2827)
62 683 (4103)
3 683 (3000)
3 153 (3612)
83 86 (1672)
83 84 (1673)
80 83 (1444)
83 85 (1681)
10 83 (1674)
8 83 (1674)
50 83 (1447)
79 83 (1676)
82 83 (1674)
1 83 (1679)
9 83 (5026)
62 83 (5041)
3 83 (3151)
84 86 (1673)
80 86 (1446)
85 86 (1694)
10 86 (1672)
8 86 (1672)
50 86 (1449)
79 86 (1674)
82 86 (1680)
1 86 (1677)
9 86 (5039)
62 86 (5066)
3 86 (3191)
80 84 (1441)
84 85 (1694)
10 84 (1678)
8 84 (1676)
50 84 (1455)
79 84 (1684)
82 84 (1682)
1 84 (1684)
9 84 (5032)
62 84 (5062)
3 84 (3209)
80 85 (1504)
10 80 (1473)
8 80 (1476)
50 80 (1566)
79 80 (1516)
80 82 (1443)
1 80 (1537)
9 80 (4485)
62 80 (4652)
3 80 (3710)
131 151 (1472)
92 151 (1668)
9 151 (2832)
62 151 (4394)
3 151 (3679)
14 97 (1466)
3 97 (4079)
10 85 (1729)
8 85 (1735)
50 85 (1710)
79 85 (1815)
82 85 (1694)
1 85 (1833)
9 85 (5347)
62 85 (5821)
3 85 (4776)
15 16 (1819)
15 17 (1903)
14 15 (2365)
3 15 (4459)
8 10 (2820)
10 50 (1566)
10 79 (2085)
10 82 (1674)
1 10 (2088)
9 10 (6349)
10 62 (5416)
3 10 (5056)
16 120 (1855)
17 120 (1950)
14 120 (2279)
62 120 (1612)
3 120 (4702)
8 50 (1574)
8 79 (2062)
8 82 (1674)
1 8 (2115)
8 9 (6484)
8 62 (5441)
3 8 (5167)
50 79 (1658)
50 82 (1451)
1 50 (1910)
9 50 (4951)
50 62 (5671)
3 50 (5888)
79 82 (1684)
1 79 (2101)
9 79 (5914)
62 79 (6299)
3 79 (5197)
7 16 (1550)
7 17 (1649)
7 14 (2348)
3 7 (5089)
1 82 (3007)
9 82 (7686)
62 82 (9034)
3 82 (5824)
92 131 (1797)
1 131 (2067)
14 131 (1536)
9 131 (3408)
62 131 (5731)
3 131 (7044)
1 92 (2160)
14 92 (1902)
9 92 (3184)
62 92 (5999)
3 92 (7308)
1 16 (1980)
1 17 (2005)
1 14 (2272)
1 9 (8573)
1 62 (10644)
1 3 (15661)
16 17 (7622)
14 16 (5755)
9 16 (1635)
16 62 (2161)
3 16 (10127)
14 17 (5919)
9 17 (1766)
17 62 (2340)
3 17 (10488)
9 14 (1951)
14 62 (3495)
3 14 (13985)
9 (6806)
9 62 (5295)
3 9 (9460)
62 (10670)
3 62 (6323)
3 (6962)
50 78 85 (1441)
78 79 85 (1442)
9 78 85 (1441)
62 78 85 (1442)
3 78 85 (1441)
50 78 79 (1441)
50 62 78 (1441)
9 78 79 (1441)
62 78 79 (1442)
3 78 79 (1441)
9 62 78 (1441)
3 9 78 (1441)
3 62 78 (1441)
10 80 81 (1441)
8 80 81 (1441)
50 80 81 (1441)
79 80 81 (1442)
80 81 82 (1441)
9 80 81 (1442)
62 80 81 (1442)
3 80 81 (1442)
8 10 81 (1441)
10 79 81 (1441)
9 10 81 (1441)
10 62 81 (1441)
3 10 81 (1441)
8 79 81 (1441)
8 9 81 (1441)
8 62 81 (1441)
3 8 81 (1441)
50 79 81 (1441)
50 81 82 (1441)
9 50 81 (1441)
50 62 81 (1441)
3 50 81 (1441)
79 81 82 (1441)
9 79 81 (1442)
62 79 81 (1442)
3 79 81 (1442)
9 81 82 (1441)
62 81 82 (1441)
3 81 82 (1441)
9 62 81 (1442)
3 9 81 (1442)
3 62 81 (1442)
1 9 74 (1441)
1 62 74 (1441)
1 3 74 (1443)
3 9 74 (1441)
3 62 74 (1441)
8 79 87 (1441)
1 8 87 (1441)
8 9 87 (1441)
8 62 87 (1441)
3 8 87 (1441)
1 79 87 (1441)
9 79 87 (1441)
62 79 87 (1441)
3 79 87 (1441)
1 9 87 (1441)
1 62 87 (1441)
1 3 87 (1445)
9 62 87 (1441)
3 9 87 (1441)
3 62 87 (1441)
8 10 75 (1441)
10 75 79 (1441)
9 10 75 (1441)
10 62 75 (1441)
3 10 75 (1441)
8 75 79 (1441)
8 9 75 (1441)
8 62 75 (1441)
